Link,Image,Tên nhà hàng,Loại hình,Phong cách món ăn,Đối tượng phù hợp,Đánh giá trung bình,Tổng số bình luận,Bình luận tuyệt vời,Bình luận khá tốt,Bình luận trung bình,Bình luận kém,Điểm không gian,Điểm vị trí,Điểm chất lượng,Điểm phục vụ,Điểm giá cả,Đường,Quận,Thành phố,Giờ mở cửa,Khoảng giá,Restaurant ID
https://www.foody.vn/ha-noi/pho-am-thuc-hang-buom,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8bm5w6p68r45@resize_ss800x450,Phố Ẩm Thực - Hàng Buồm,Ăn vặt/vỉa hè,Món Việt,"Cặp đôi, Gia đình, Nhóm hội, Khách du lịch",6.7,25,0,13,11,1,6.6,7.4,6.6,6.6,6.5,Hàng Buồm,Quận Hoàn Kiếm,Hà Nội,19:00 - 23:30,10.000đ - 50.000đ,2048
https://www.foody.vn/ha-noi/nem-lui-banh-xeo-nguyen-khuyen,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8bm5hhaoyjaf@resize_ss800x450,Nem Lụi & Bánh Xèo - Nguyễn Khuyến,Ăn vặt/vỉa hè,Món Quảng,"Sinh viên, Cặp đôi, Gia đình, Nhóm hội",7.4,102,7,70,17,5,6.2,7.3,8.0,7.2,8.3,"61 Nguyễn Khuyến, P. Văn Miếu",Quận Đống Đa,Hà Nội,11:30 - 19:00,5.000đ - 15.000đ,1790
https://www.foody.vn/ha-noi/chay-thanh-diep-com-chay-van-phong-bun-do-an-a-au-toa-s2-07-sanh-a-vinhomes-ocean-park,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lwifr55m5hp5f5@resize_ss576x330,"Chay Thanh Diệp - Cơm Chay Văn Phòng, Bún & Đồ Ăn Á Âu - Tòa S2.07 Sảnh A Vinhomes Ocean Park","Ăn chay, Shop Online",Món Việt,,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"Tòa S2.07 Sảnh A Vinhomes Ocean Park, X. Đa Tốn",Huyện Gia Lâm,Hà Nội,09:00 - 22:00,,625
https://www.foody.vn/ha-noi/tiem-an-van-com-trua-an-vat,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8hzb4wxjvdcd@resize_ss576x330,Tiệm Ăn Vân - Cơm Trưa & Ăn Vặt,Ăn vặt/vỉa hè,Món Việt,"Sinh viên, Nhóm hội",8.5,17,11,3,2,1,8.5,8.4,8.4,8.9,8.5,"107 Thanh Bình, P. Mộ Lao",Quận Hà Đông,Hà Nội,10:00 - 23:00,5.000đ - 60.000đ,2573
https://www.foody.vn/ha-noi/king-bbq-dao-tan,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8bmaqpls61f7@resize_ss800x450,King BBQ - Đào Tấn,Quán ăn,Món Á,"Cặp đôi, Gia đình, Nhóm hội",6.9,57,19,10,16,12,7.2,7.7,6.4,6.7,6.6,"109 Đào Tấn, P. Ngọc Khánh",Quận Ba Đình,Hà Nội,10:00 - 22:00,45.000đ - 55.000đ,1435
https://www.foody.vn/ha-noi/quan-ke-mi-chua-cay-chao-suon-tim-cat-ao-sen.558va3,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwab834tjp3td8@resize_ss576x330,Quán Kê - Mì Chua Cay Cháo Sườn Tim Cật - Ao Sen,Ăn vặt/vỉa hè,Món Bắc,"Sinh viên, Cặp đôi, Gia đình, Nhóm hội, Giới văn phòng",9.9,74,74,0,0,0,9.8,9.5,10.0,10.0,10.0,"10 Ngõ 2  Ao Sen, P. Mộ Lao",Quận Hà Đông,Hà Nội,09:00 - 14:00,,2181
https://www.foody.vn/ha-noi/sua-hat-thuan-chay-tiem-nha-thoc-4-ngach-85-ngo-56-pho-thach-cau,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw9dcpjga4m353@resize_ss576x330,Sữa Hạt Thuần Chay - Tiệm Nhà Thóc - 4 Ngách 85 Ngõ 56 Phố Thạch Cầu,Ăn chay,Món Bắc,"Sinh viên, Cặp đôi, Gia đình, Nhóm hội, Giới văn phòng, Giới Manager, Khách du lịch, Trẻ em",0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"4 Ngách 85 Ngõ 56 Phố Thạch Cầu, Tổ 2, P. Long Biên (Ngách 85 Cạnh Nhà Văn Hoá Tổ 1+2+3)",Quận Long Biên,Hà Nội,08:00 - 19:00,,2367
https://www.foody.vn/ha-noi/che-tuyet-suka-cau-dong,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwajc65zzpaz84@resize_ss576x330,Chè Tuyết Suka - Cầu Đông,Ăn vặt/vỉa hè,Hà Nội,"Sinh viên, Cặp đôi, Gia đình, Nhóm hội",7.3,14,1,8,5,0,5.9,7.1,8.3,7.4,7.6,"49 Cầu Đông (Ngõ Chợ Đồng Xuân), P. Đồng Xuân",Quận Hoàn Kiếm,Hà Nội,09:00 - 18:00,20.000đ - 30.000đ,734
https://www.foody.vn/ha-noi/vons-chicken-ga-ran-nuong-han-quoc,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwdk0qlhilej13@resize_ss576x330,Vons Chicken - Gà Rán & Nướng Hàn Quốc,Nhà hàng,Món Hàn,"Cặp đôi, Nhóm hội, Giới văn phòng",7.2,28,0,24,2,2,6.8,7.0,8.1,6.8,7.4,"A006 The Manor, Mễ Trì",Quận Nam Từ Liêm,Hà Nội,09:00 - 22:00,80.000đ - 400.000đ,2782
https://www.foody.vn/ha-noi/bep-chay-duong-tam-com-chay-bun-rieu-chay-chao-nam-chay-van-phong,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsvbrpah28ih03@resize_ss576x330,"Bếp Chay Dưỡng Tâm - Cơm Chay, Bún Riêu Chay & Cháo Nấm Chay Văn Phòng",Ăn chay,Món Việt,,4.2,1,0,0,0,1,5.0,5.0,1.0,5.0,5.0,"Số 57 Ngõ 21 Lê Văn Lương, P. Nhân Chính",Quận Thanh Xuân,Hà Nội,09:00 - 20:00,,514
https://www.foody.vn/ha-noi/truong-tho-thuc-pham-chay,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwce5zw7gdzvcd@resize_ss576x330,Trường Thọ - Thực Phẩm Chay,Ăn chay,Món Việt,Gia đình,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"184 Xuân Diệu, P. Xuân La",Quận Tây Hồ,Hà Nội,09:00 - 22:00,20.000đ - 50.000đ,2688
https://www.foody.vn/ha-noi/co-hai-lau-mam-can-tho,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8bmd1o8dej8d@resize_ss800x450,Nhà Hàng Lẩu Pháp & Bún Thái Hải Sản,Nhà hàng,Món Miền Nam,"Cặp đôi, Gia đình, Nhóm hội",5.9,29,3,10,9,6,5.8,6.2,5.6,5.5,6.4,"112 Vũ Trọng Phụng, P. Thanh Xuân Trung",Quận Thanh Xuân,Hà Nội,10:00 - 22:30,50.000đ - 250.000đ,1889
https://www.foody.vn/ha-noi/banh-mi-thit-xien-93,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwgorfowp13v5b@resize_ss576x330,Bánh Mì Thịt Xiên 93,Ăn vặt/vỉa hè,Món Việt,"Sinh viên, Cặp đôi, Gia đình",7.3,24,4,13,5,2,6.5,7.2,7.1,7.7,8.1,"40 Nguyễn Chí Thanh, P. Ngọc Khánh",Quận Ba Đình,Hà Nội,07:00 - 19:00,7.000đ - 20.000đ,301
https://www.foody.vn/ha-noi/mydeli-mi-y-pizza,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwgor39wwk4b8f@resize_ss576x330,MyDeli - Mì Ý & Pizza,Ăn vặt/vỉa hè,Quốc tế,"Cặp đôi, Gia đình, Nhóm hội",8.3,51,17,31,2,1,7.9,8.2,8.5,8.6,8.2,"27A Nguyễn Công Trứ, P. Phạm Đình Hổ",Quận Hai Bà Trưng,Hà Nội,09:30 - 22:00,25.000đ - 90.000đ,1724
https://www.foody.vn/ha-noi/khoai-lang-xi-muoi,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8blxez3t9706@resize_ss800x450,Khoai Lang Xí Muội,Ăn vặt/vỉa hè,Món Việt,"Sinh viên, Gia đình, Giới văn phòng",7.1,12,0,9,3,0,6.3,7.6,7.5,6.9,7.1,16 Hàng Lược,Quận Hoàn Kiếm,Hà Nội,16:00 - 22:00,15.000đ - 30.000đ,1390
https://www.foody.vn/ha-noi/vege-ro-mi-ramen-chay-nhat-ban-chau-long.ruonm7,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwadorwrcf6he5@resize_ss576x330,Vege-ro - Mì Ramen Chay Nhật Bản - Châu Long,Ăn chay,Quốc tế,"Sinh viên, Cặp đôi, Gia đình, Nhóm hội, Giới văn phòng, Giới Manager, Khách du lịch, Trẻ em",0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"37 Châu Long, P. Trúc Bạch",Quận Ba Đình,Hà Nội,11:30 - 14:30,,2766
https://www.foody.vn/ha-noi/com-tam-tan-vien,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsu1sv4gn3bt0f@resize_ss576x330,Cơm Tấm Tân Viên,Quán ăn,Món Việt,"Gia đình, Giới văn phòng",5.5,47,6,15,5,21,5.7,6.0,5.0,5.5,5.5,"20 Phan Phù Tiên (10 Cát Linh Đi Vào), P. Cat Linh",Quận Đống Đa,Hà Nội,10:00 - 14:30 | 17:00 - 21:00,30.000đ - 50.000đ,883
